pts.lon,pts.lat,pts.amenity
-73.9800709,40.7513197,ngo
-74.0069986,40.7092551,government
-73.9903515,40.7442363,company
-73.9595992,40.809291,research
-73.992921,40.7474617,ngo
-73.9909381,40.7269133,government
-73.9704804,40.7953236,company
-73.9794836,40.7654723,telecommunication
-74.0064559,40.7555641,company
-73.97489,40.751705,company
-74.0063203,40.7079924,company
-73.9897732,40.7397099,company
-74.0098166,40.7121142,lawyer
-73.9810974,40.7538183,it
-73.9415929,40.8229043,telecommunication
-74.0045193,40.8050765,lawyer
-74.0060767,40.7149137,architect
-74.0098866,40.7188675,company
-73.9828698,40.7547044,company
-73.9705521,40.7554975,lawyer
-73.9659854,40.7695933,government
-73.9701339,40.7605883,estate_agent
-74.0012588,40.7525951,startup
-74.0109185,40.7084508,government
-73.994194,40.7490571,company
-73.9843654,40.7214461,architect
-73.9843701,40.7214398,architect
-73.9843737,40.7214335,architect
-73.9533271,40.7443887,estate_agent
-73.9536773,40.7445097,estate_agent
-73.9537345,40.7443394,estate_agent
-73.984399,40.7206396,Film_Production_company
-74.0056962,40.72806,government
-73.9932255,40.7440394,yes
-73.9943001,40.7456557,technology
